name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sue Me,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04E-05,0.138,0.609,157.184
Cradles,0.534,0.589,1,-1.865,1,0.325,0.256,6.02E-05,0.176,0.632,78.616
Element,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18E-06,0.251,0.305,61.311
Track Star,0.641,0.598,7,-5.7,0,0.324,0.381,0,0.0921,0.285,131.459
Errbody,0.887,0.606,2,-6.572,1,0.324,0.000407,0,0.151,0.272,139.995
Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,0.878,0.475,1,-8.42,0,0.324,0.00984,0,0.167,0.397,131.988
One Love / People Get Ready - Medley,0.725,0.523,10,-9.593,1,0.324,0.0783,0,0.0665,0.95,76.292
Sum 2 Prove,0.823,0.552,4,-7.57,0,0.324,0.0174,0,0.122,0.418,124.038
Fine China,0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111
Eastside (with Halsey & Khalid),0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391
Mannschaft (feat. Freeze Corleone),0.833,0.574,0,-8.74,0,0.321,0.195,0,0.142,0.514,130.003
Face Of My City (feat. Lil Baby),0.74,0.566,1,-8.389,0,0.32,0.0034,0,0.589,0.342,156.197
679 (feat. Remy Boyz),0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05
My Name Is,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12E-06,0.0914,0.815,85.519
Velitas,0.819,0.596,2,-7.009,1,0.318,0.225,1.19E-06,0.138,0.622,165.951
LA CANCIÓN,0.754,0.646,7,-5.795,1,0.317,0.152,1.85E-05,0.108,0.429,176.089
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021
21 Questions,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012
Fergalicious,0.906,0.584,8,-7.72,0,0.316,0.0576,0,0.128,0.831,129.055
Dámelo To’ (feat. Myke Towers),0.787,0.641,8,-7.376,1,0.315,0.101,0.00534,0.07,0.437,182.003
8,0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446
Rap God,0.708,0.843,7,-2.66,1,0.314,0.397,0,0.799,0.625,148.14
